"TIMESTAMP","PAYLOAD"
"2016-05-20 09:48:10.19","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.20","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.21","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.22","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.23","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.24","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.25","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.26","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.27","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.28","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.29","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.30","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.31","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.32","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.33","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.34","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.35","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.36","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.37","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.38","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.39","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
